高管姓名，性别，年龄，股票代码，职位
苏毅,男,49,603970,董事长,董事
谢铁桥,男,65,603969,董事长,董事
庆九,男,49,603968,董事长,董事
高毅,男,50,603939,董事长,董事
金国培,男,55,603918,董事长,董事
施良才,男,56,603917,董事长,董事
缪昌文,男,61,603916,董事长,董事
罗邦毅,男,51,603901,董事长,董事
沈汉标,男,46,603898,董事长,董事
薛革文,男,49,603890,董事长,董事
沈建华,男,54,603889,董事长,董事
王均金,男,50,603885,董事长,董事
谢子龙,男,52,603883,董事长,董事
王子峥,男,30,603869,董事长,董事
林建华,男,56,603806,董事长,董事
沈汉标,男,46,603848,董事长,董事
向朝东,男,68,603809,董事长,董事
章沈强,男,51,603789,董事长,董事
钱高法,男,69,603788,董事长,董事
余亦坤,男,32,603729,董事长,董事
顾益明,男,48,603828,董事长,董事
赵瑞海,男,53,603818,董事长,董事
张海明,男,57,603718,董事长,董事
夏国新,男,50,603808,董事长,董事
高勇,男,51,603766,董事长,董事
蒋建琪,男,54,603711,董事长,董事
叶利明,男,59,603703,董事长,董事
王保庆,男,61,603699,董事长,董事
唐国宏,男,57,603698,董事长,董事
陈士斌,男,52,603688,董事长,董事
张桂丰,男,55,603686,董事长,董事
蔡明通,男,66,603678,董事长,董事
王江林,男,48,603661,董事长,董事
陶灵萍,女,48,603669,董事长,董事
戚建国,男,57,603655,董事长,董事
吴志雄,男,46,603636,董事长,董事
李春第,男,67,603619,董事长,董事
华建飞,男,49,603618,董事长,董事
丁毅,男,66,603611,董事长,董事
何文健,男,53,603685,董事长,董事
侯军呈,男,54,603605,董事长,董事
郭茂,男,48,603601,董事长,董事
张加勇,男,43,603600,董事长,董事
黄金祥,男,53,603599,董事长,董事
罗衍记,男,45,603598,董事长,董事
金卫东,男,55,603609,董事长,董事
夏崇耀,男,59,603606,董事长,董事
项光明,男,55,603568,董事长,董事
方同华,男,55,603567,董事长,董事
张许科,男,55,603566,董事长,董事
李卫国,男,53,603588,董事长,董事
张茂义,男,55,603558,董事长,董事
林天福,男,56,603555,董事长,董事
卢凤仙,女,62,603519,董事长,董事
王致勤,男,54,603518,董事长,董事
贺正刚,男,64,603477,董事长,董事
花莉蓉,女,50,603456,董事长,董事
周素明,男,56,603369,董事长,董事
朱朝阳,男,53,603368,董事长,董事
徐新建,男,54,603366,董事长,董事
李裕陆,男,44,603365,董事长,董事
倪祖根,男,61,603355,董事长,董事
许树根,男,53,603338,董事长,董事
李广胜,男,45,603333,董事长,董事
孙望平,男,53,603329,董事长,董事
李永强,男,47,603328,董事长,董事
谢冰,男,43,603318,董事长,董事
吕世平,男,53,603315,董事长,董事
丁宏广,男,60,603311,董事长,董事
向彬,男,49,603309,董事长,董事
杜应流,男,66,603308,董事长,董事
张初全,男,47,603306,董事长,董事
胡丹锋,男,39,603300,董事长,董事
庞康,男,62,603288,董事长,董事
孙丰,男,40,603283,董事长,董事
林道藩,男,57,603268,董事长,董事
窦勇,男,42,603278,董事长,董事
康健,男,47,603227,董事长,董事
李丽莎,女,40,603222,董事长,董事
杨卫新,男,50,603167,董事长,董事
陈洪民,男,64,603161,董事长,董事
舒畅,男,56,603199,董事长,董事
倪永培,男,66,603198,董事长,董事
许芸霞,女,29,603188,董事长,董事
张璞临,男,53,603169,董事长,董事
黎福超,男,60,603166,董事长,董事
陈德康,男,67,603168,董事长,董事
蒋学真,男,58,603158,董事长,董事
朱碧新,男,53,603128,董事长,董事
张奇,男,54,603126,董事长,董事
匡振兴,男,51,603123,董事长,董事
汪大维,男,74,603118,董事长,董事
钱金波,男,54,603116,董事长,董事
陈颖奇,男,57,603111,董事长,董事
吴朋,男,55,603100,董事长,董事
刘辉,男,45,603108,董事长,董事
王昆,男,47,603099,董事长,董事
郑良才,男,69,603088,董事长,董事
赵安林,男,58,603080,董事长,董事
曾小平,男,57,603077,董事长,董事
赖云来,男,60,603076,董事长,董事
朱斌,男,50,603030,董事长,董事
郭天明,男,54,603026,董事长,董事
郑建军,男,68,603025,董事长,董事
Gerald G Wong,男,65,603083,董事长,董事
陈振华,男,56,603023,董事长,董事
曹文洁,女,48,603022,董事长,董事
张德华,男,65,603021,董事长,董事
魏中浩,男,64,603020,董事长,董事
李国杰,男,75,603019,董事长,董事
杨卫东,男,52,603018,董事长,董事
冯正功,男,52,603017,董事长,董事
石华辉,男,61,603012,董事长,董事
熊钰麟,男,64,603015,董事长,董事
严建文,男,51,603011,董事长,董事
高献国,男,58,603010,董事长,董事
靳坤,男,60,603009,董事长,董事
陈阿裕,男,56,603008,董事长,董事
徐涛明,男,56,603006,董事长,董事
王蔚,男,52,603005,董事长,董事
徐增增,女,65,603003,董事长,董事
林瑞荣,男,57,603002,董事长,董事
王振滔,男,53,603001,董事长,董事
王一彪,男,54,603000,董事长,董事
杨建军,男,55,601999,董事长,董事
李庆萍,女,56,601998,董事长,执行董事
奚正刚,男,53,601996,董事长,董事
姜德义,男,54,601992,董事长,执行董事
陈进行,男,62,601991,董事长,非执行董事
姜仁锋,男,54,601989,董事长,董事
黄小文,男,56,601919,代董事长,副董事长,执行董事
冯焕培,男,52,601908,董事长,董事
陈培,男,56,601918,董事长,董事
高利,男,57,601901,董事长,董事
陈景河,男,61,601899,董事长,董事
李延江,男,60,601898,董事长,执行董事
陶安祥,男,60,601890,董事长,董事
李刚,男,51,601888,董事长,董事
刘载望,男,46,601886,董事长,董事
张乙明,男,54,601880,董事长,执行董事
南存辉,男,55,601877,董事长,董事
苏新刚,男,60,601872,董事长,董事
孙月英,女,60,601866,董事长,执行董事
王宜林,男,62,601857,董事长,董事
李晓鹏,男,49,601818,董事长,非执行董事
刘起涛,男,61,601800,董事长,执行董事
周晓萍,女,57,601799,董事长,董事
张延丰,男,58,601798,董事长,董事
徐文卫,男,52,601789,董事长,董事
薛峰,男,51,601788,董事长,董事
齐美胜,男,50,601808,董事长,执行董事
曹杰,男,52,601801,董事长,董事
牟刚,男,48,601777,董事长,董事
李晋平,男,54,601699,董事长,董事
邬建树,男,54,601689,董事长,董事
刘化龙,男,56,601766,董事长,执行董事
郑建华,男,58,601727,董事长,执行董事
李义岭,男,49,601718,董事长,董事
焦承尧,男,55,601717,董事长,执行董事
范建刚,男,64,601700,董事长,董事
向阳,男,59,601666,董事长,董事
魏建军,男,54,601633,董事长,执行董事
周易,男,49,601688,董事长,董事
张忠正,男,75,601678,董事长,董事
马廷义,男,62,601677,董事长,董事
晏志勇,男,60,601669,董事长,董事
姚培武,男,54,601636,董事长,董事
官庆,男,54,601668,董事长,董事
杨明生,男,63,601628,董事长,执行董事
国文清,男,54,601618,董事长,执行董事
侯松容,男,50,601616,董事长,董事
俞章法,男,51,601608,董事长,董事
周军,男,49,601607,董事长,非执行董事
孔庆伟,男,58,601601,董事长,执行董事
余德辉,男,58,601600,董事长,非执行董事
钱文龙,男,65,601599,董事长,董事
贺江川,男,53,601588,董事长,执行董事
金建顺,男,59,601579,董事长,董事
郑坚江,男,57,601567,董事长,董事
林聪颖,男,58,601566,董事长,董事
马忠,男,55,601558,董事长,董事
范力,男,52,601555,董事长,董事
张志宏,男,57,601519,董事长,董事
黄晓佳,男,38,601515,董事长,董事
毕忠德,男,56,601518,董事长,董事
易会满,男,54,601398,董事长,执行董事
李长进,男,59,601390,董事长,执行董事
杨华辉,男,52,601377,董事长,董事
李宏安,男,53,601369,董事长,董事
杨卫新,男,57,601339,董事长,董事
万峰,男,60,601336,董事长,执行董事
武勇,男,54,601333,董事长,董事
彭纯,男,56,601328,董事长,执行董事
马明哲,男,62,601318,董事长,执行董事
周慕冰,男,61,601288,董事长,执行董事
周鸿祎,男,48,601313,董事长,董事
刘国本,男,74,601311,董事长,董事
崔殿国,男,64,601299,董事长,董事
陆文俊,男,51,601268,董事长,董事
庞庆华,男,63,601258,董事长,董事
陈士良,男,55,601233,董事长,董事
曾庆洪,男,57,601238,董事长,董事
孙青松,男,58,601226,董事长,董事
杨照乾,男,55,601225,董事长,董事
陆永华,男,55,601222,董事长,董事
张洪本,男,71,601231,董事长,董事
包士金,男,59,601218,董事长,董事
黄辉,男,54,601216,董事长,董事
于少波,男,50,601208,董事长,董事
龚国贤,男,54,601199,董事长,董事
魏庆华,男,54,601198,董事长,董事
孙熠嵩,男,55,601188,董事长,董事
孟凤朝,男,60,601186,董事长,执行董事
张雅林,男,54,601179,董事长,董事
冯光,男,57,601177,董事长,董事
张东宁,男,58,601169,董事长,董事
张永利,男,53,601168,董事长,董事
高建平,男,59,601166,董事长,董事
王世安,男,55,601158,董事长,董事
李真,男,55,601139,董事长,董事
谢识才,男,57,601137,董事长,董事
高秀环,女,54,601126,董事长,董事
王任飞,男,52,601118,董事长,董事
戴和根,男,52,601117,董事长,董事
陈念慈,男,67,601116,董事长,董事
丁尔民,男,53,601113,董事长,董事
龚曙光,男,59,601098,董事长,董事
蔡剑江,男,54,601111,董事长,非执行董事
周黎明,男,54,601107,董事长,执行董事
赵刚,男,50,601106,董事长,董事
汪立平,男,52,601100,董事长,董事
丁吉,男,45,601099,董事
凌文,男,55,601088,董事长,执行董事
杜玉岱,男,58,601058,董事长,董事
赵剡水,男,55,601038,董事长,董事
程涛,男,39,601028,董事长,董事
王煜,男,48,601021,董事长,董事
张志华,男,54,601019,董事长,董事
毛剑宏,男,54,601018,董事长,董事
刘斌,男,55,601016,董事长,董事
李保平,男,54,601015,董事长,董事
钟宝申,男,51,601012,董事长,董事
焦云,男,62,601011,董事长,董事
陈松林,男,55,601010,董事长,董事
胡昇荣,男,55,601009,董事长,执行董事
李春宏,男,57,601008,董事长,董事
李茜,女,43,601007,董事长,董事
赵春雷,男,56,601006,董事长,董事
周竹平,男,55,601005,董事长,董事
陈有升,男,52,601003,董事长,董事
蔡永龙,男,63,601002,董事长,董事
张有喜,男,60,601001,董事长,董事
宣国宝,男,46,601000,董事长,董事
霍达,男,50,600999,董事长,执行董事
张建公,男,51,600997,董事长,董事
刘宝林,男,65,600998,董事长,董事
黄忠渠,男,60,600992,董事长,董事
黄兴仓,男,50,600995,董事长,董事
陈平,男,56,600993,董事长,董事
李明鲁,男,49,600985,董事长,董事
吴胜波,男,52,600983,董事长,董事
张剑,男,54,600981,董事长,董事
张房有,男,62,600991,董事长,董事
陈信平,男,56,600990,董事长,董事
朱重庆,男,65,600987,董事长,董事
杨宏军,男,48,600984,董事长,董事
吕建伟,男,55,600982,董事长,董事
夏晓鸥,男,61,600980,董事长,董事
袁晓林,男,55,600979,代董事长,董事
刘壮超,男,30,600978,董事长,董事
刘勤强,男,58,600976,董事长,董事
邱卫,男,58,600975,董事长,董事
杨泽元,男,53,600973,董事长,董事
宋寿顺,男,55,600970,董事长,董事
范培顺,男,47,600969,董事长,董事
李全文,男,54,600967,董事长,董事
李刚,男,37,600966,董事长,董事
李高生,男,48,600965,董事长,董事
黄欣,男,56,600963,董事长,董事
李俊喜,男,53,600962,董事长,董事
黄忠民,男,55,600961,董事长,董事
陈宝,男,56,600960,董事长,董事
顾汉德,男,59,600959,董事长,董事
潘鑫军,男,57,600958,董事长,执行董事
张建成,男,59,600933,董事长,董事
张民生,男,50,600893,董事长,董事
周镇科,男,43,600892,董事长,董事
李亚,男,51,600891,董事长,董事
朱雷,男,45,600890,董事长,董事
丁明国,男,55,600889,董事长,董事
潘刚,男,48,600887,董事长,执行董事
胡刚,男,56,600886,董事长,董事
郭满金,男,70,600885,董事长,董事
庄巍,男,52,600884,董事长,董事
刘志波,男,55,600883,董事长,董事
柴琇,女,53,600882,董事长,董事
宋尚龙,男,65,600881,董事长,董事
连华,女,47,600880,代董事长,董事
刘眉玄,男,53,600879,董事长,董事
李华光,男,53,600877,董事长,董事
张冲,男,55,600876,董事长,执行董事
邹磊,男,52,600875,董事长,董事
刘玉军,男,52,600874,董事长,董事
王爱军,女,46,600873,董事长,董事
熊炜,男,50,600872,董事长,董事
孙清德,男,55,600871,代董事长,副董事长,执行董事
王春芳,男,49,600870,董事长,董事
蒋承志,男,32,600869,董事长,董事
温增勇,男,43,600868,董事长,董事
李一奎,男,67,600867,董事长,董事
陈武,男,50,600866,董事长,董事
陈夏鑫,男,56,600865,董事长,董事
李向良,男,50,600863,董事长,董事
李志强,男,53,600862,董事长,董事
赵洪波,男,49,600864,董事长,董事
王禄征,男,55,600861,董事长,董事
王军,男,46,600860,董事长,执行董事
刘毅,男,58,600859,董事长,董事
王志盛,男,48,600858,董事长,董事
应飞军,男,54,600857,董事长,董事
黄博,男,48,600856,董事长,董事
史燕中,男,45,600855,董事长,董事
尚云龙,男,45,600853,董事长,董事
汪浩,女,50,600852,董事长,董事
孟文波,男,46,600851,董事长,董事
游小明,男,51,600850,董事长,董事
袁国华,男,52,600848,董事长,董事
沈华平,男,50,600854,董事长,董事
刘悉承,男,56,600847,董事长,董事
丁洁民,男,61,600846,董事长,董事
夏雪松,男,48,600845,董事长,董事
王斌,男,51,600844,董事长,董事
张敏,男,56,600843,董事长,董事
蓝青松,男,53,600841,董事长,董事
许骍,男,48,600838,董事长,董事
周杰,男,51,600837,董事长,董事
赵勇,男,55,600839,董事长,董事
费屹立,男,45,600836,董事长,董事
陈嘉明,男,56,600835,董事长,董事
俞光耀,男,59,600834,董事长,董事
徐子瑛,女,49,600833,董事长,董事
钮卫平,女,64,600832,董事长,董事
张镇平,男,57,600829,董事长,董事
高宏彪,男,49,600828,董事长,董事
晏兆祥,男,60,600831,董事长,董事
叶永明,男,54,600827,董事长,董事
潘昵琥,男,56,600830,董事长,董事
曹炜,男,51,600826,董事长,董事
许荣茂,男,68,600823,董事长,董事
陈启伟,男,55,600825,董事长,董事
秦青林,男,56,600822,董事长,董事
刘明,男,56,600821,董事长,董事
赵健,男,47,600819,董事长,董事
张焰,男,57,600820,董事长,董事
程涛,男,39,600817,董事长,董事
杨传华,男,56,600824,董事长,董事
王少钦,男,60,600816,董事长,董事
张振斌,男,58,600815,董事长,董事
童民强,男,60,600814,董事长,董事
张春城,男,52,600813,董事长,董事
刘文富,男,56,600812,副董事长,董事
张宏伟,男,64,600811,名誉董事长,董事
郑晓广,男,53,600810,董事长,董事
丁毅,男,54,600808,董事长,董事
谭忠豹,男,55,600809,董事长,董事
曾昭秦,男,49,600807,董事长,董事
王鹤,男,52,600806,董事长,董事
王连春,男,48,600805,董事长,董事
杨学平,男,53,600804,董事长,董事
王玉锁,男,54,600803,董事长,董事
洪海山,男,57,600802,董事长,董事
徐永模,男,62,600801,董事长,董事
郭锴,男,44,600800,董事长,董事
胡敏,男,46,600798,董事长,董事
陈纯,男,63,600797,名誉董事长
高云跃,男,50,600796,董事长,董事
乔保平,男,63,600795,董事长,董事
唐勇,男,44,600794,董事长,董事
易从,男,55,600793,董事长,董事
彭伟,男,50,600792,董事长,董事
李育海,男,44,600791,董事长,董事
葛梅荣,男,54,600790,董事长,董事
彭欣,男,46,600789,董事长,董事
刘实,男,54,600788,董事长,董事
韩铁林,男,60,600787,董事长,董事
曲奎,男,52,600785,董事长,董事
